update not nand and ornot or andnot nor xor equals
0 40 0 0 0 0 0 0 0 0
100 0 0 0 0 0 0 0 0 0
200 0 0 0 0 0 0 0 0 0
300 0 0 0 0 0 0 0 0 0
400 0 0 0 0 0 0 0 0 0
500 0 0 0 0 0 0 0 0 0
